row_num,csv_parent_path,csv_name,status,message,subcategory_id,db_name_ar,db_name_en,slug,parent_subcategory_id,category_id
190,"المركبات > سيارات > BMW > M Series","M5 Touring",added,"Created subcategory id 44907",44907,"M5 Touring","M5 Touring",bmw-m-series-m5-touring,44725,1
191,"المركبات > سيارات > BMW > M Series",M6,added,"Created subcategory id 44908",44908,M6,M6,bmw-m-series-m6,44725,1
192,"المركبات > سيارات > BMW > M Series","M6 Cabrio",added,"Created subcategory id 44909",44909,"M6 Cabrio","M6 Cabrio",bmw-m-series-m6-cabrio,44725,1
193,"المركبات > سيارات > BMW > M Series","M6 Gran Coupe",added,"Created subcategory id 44910",44910,"M6 Gran Coupe","M6 Gran Coupe",bmw-m-series-m6-gran-coupe,44725,1
194,"المركبات > سيارات > BMW > M Series","M760e xDrive",added,"Created subcategory id 44911",44911,"M760e xDrive","M760e xDrive",bmw-m-series-m760e-xdrive,44725,1
195,"المركبات > سيارات > BMW > M Series","M760i Long xDrive",added,"Created subcategory id 44912",44912,"M760i Long xDrive","M760i Long xDrive",bmw-m-series-m760i-long-xdrive,44725,1
196,"المركبات > سيارات > BMW > M Series","M8 Coupe xDrive Competition",added,"Created subcategory id 44913",44913,"M8 Coupe xDrive Competition","M8 Coupe xDrive Competition",bmw-m-series-m8-coupe-xdrive-competition,44725,1
197,"المركبات > سيارات > BMW > M Series","M8 Gran Coupe xDrive Competition",added,"Created subcategory id 44914",44914,"M8 Gran Coupe xDrive Competition","M8 Gran Coupe xDrive Competition",bmw-m-series-m8-gran-coupe-xdrive-competition,44725,1
198,"المركبات > سيارات > BMW > M Series","Z3 M Cabrio",added,"Created subcategory id 44915",44915,"Z3 M Cabrio","Z3 M Cabrio",bmw-m-series-z3-m-cabrio,44725,1
199,"المركبات > سيارات > BMW > Z Series",Z1,added,"Created subcategory id 44916",44916,Z1,Z1,bmw-z-series-z1,44726,1
200,"المركبات > سيارات > BMW > Z Series",Z3,added,"Created subcategory id 44917",44917,Z3,Z3,bmw-z-series-z3,44726,1
201,"المركبات > سيارات > BMW > Z Series",Z4,added,"Created subcategory id 44918",44918,Z4,Z4,bmw-z-series-z4,44726,1
202,"المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Citroën",Berlingo,added,"Created subcategory id 44919",44919,Berlingo,Berlingo,citroen-trucks-light-trucks-berlingo,38814,1
